sequence,rx_monotonic_ns,receive_interval_ms,latency_ms,operator_powered,operator_enabled,operator_dragging,tracking_powered,mapper_armed,operator_j1,operator_j2,operator_j3,operator_j4,operator_j5,operator_j6,tracking_j1,tracking_j2,tracking_j3,tracking_j4,tracking_j5,tracking_j6,target_j1,target_j2,target_j3,target_j4,target_j5,target_j6
1296,22654589615684,7.997269,0.018533,1,1,1,1,1,1.891139,0.069297,-1.429868,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094913,0.000022,-1.574993,-0.000007
1297,22654597721738,8.106054,0.023570,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1298,22654605610441,7.888703,0.019238,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1299,22654613233834,7.623393,0.013578,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1300,22654622268359,9.034525,0.017597,1,1,1,1,1,1.891139,0.069297,-1.429868,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094913,0.000022,-1.574993,-0.000007
1301,22654629680929,7.412570,0.016332,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094913,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1302,22654637835779,8.154850,0.017626,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1303,22654645771236,7.935457,0.034734,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1304,22654653687622,7.916386,0.024984,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1305,22654661790361,8.102739,0.043812,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1306,22654669666940,7.876579,0.010951,1,1,1,1,1,1.891128,0.069297,-1.429856,-0.234194,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000014,2.101491,-2.094901,0.000010,-1.574993,-0.000007
1307,22654677802444,8.135504,0.036872,1,1,1,1,1,1.891128,0.069297,-1.429856,-0.234194,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000014,2.101491,-2.094901,0.000010,-1.574993,-0.000007
